City,Population,Average_Income,Age_0_18_Pct,Age_19_40_Pct,Age_41_60_Pct,Age_60_Plus_Pct,lat,lon,Count_0_18,Count_19_40,Count_41_60,Count_60_Plus
Dijon-0,2732,17002,22.8,29.4,31.0,16.8,45.62178083193154,0.3299907230518633,622,803,846,458
Saint-Étienne-1,2717,20873,15.9,32.1,27.6,24.5,49.65500014486941,1.2077922531252359,432,872,749,665
Montpellier-2,2618,22296,19.2,30.0,26.7,24.1,48.12395759267984,5.4000213252239835,502,785,699,630
Le Havre-3,12545,25017,24.0,23.2,23.4,29.4,47.190609389379254,-0.25995175334118636,3010,2910,2935,3688
Paris-4,8862,35484,14.1,32.5,26.9,26.6,44.09213048309706,5.566146532933885,1249,2880,2383,2357
Nantes-5,16925,34368,17.5,25.3,28.4,28.7,44.09196164235342,-3.0305212592563935,2961,4282,4806,4857
Marseille-6,10951,21925,21.3,32.5,27.1,19.1,43.4065852851774,4.544782809294938,2332,3559,2967,2091
Nice-7,2034,20985,19.6,30.6,26.4,23.4,49.06323302042455,5.3230239636021,398,622,536,475
Angers-8,3226,21906,16.6,31.9,28.7,22.7,47.20780508220246,-2.0000058187892735,535,1029,925,732
Clermont-Ferrand-9,2051,17936,23.0,25.9,23.7,27.4,47.95650804457232,0.7338118560942046,471,531,486,561
Villeurbanne-10,5068,32806,23.8,31.4,25.7,19.1,43.14409146007062,-2.179502478699788,1206,1591,1302,967
Lille-11,2476,25070,18.1,28.4,21.9,31.6,49.78936896513396,3.7726454189363956,448,703,542,782
Clermont-Ferrand-12,2028,35424,24.3,28.1,21.6,26.0,48.82709848560295,1.888825448678224,492,569,438,527
Bordeaux-13,5140,17764,20.9,28.2,26.1,24.9,44.48637377474793,2.988556813791531,1074,1449,1341,1279
Lyon-14,25929,24331,20.1,27.9,25.8,26.2,44.27277477044971,-1.8386433634816775,5211,7234,6689,6793
Bordeaux-15,3128,28716,21.9,26.6,28.5,23.1,44.28383156897404,-1.670795517423385,685,832,891,722
Lyon-16,4232,20089,23.0,27.1,22.6,27.2,45.129695700716766,-3.54352941939103,973,1146,956,1151
Lyon-17,2267,42451,17.3,31.6,22.6,28.5,46.673295021425666,-0.4572571128469729,392,716,512,646
Nantes-18,2421,27598,15.6,32.1,24.8,27.5,46.02361513049481,2.1571912746704243,377,777,600,665
Bordeaux-19,3996,29644,22.8,27.1,24.8,25.4,45.038603981386295,5.437284053970616,911,1082,991,1014
Reims-20,2054,31947,21.7,21.7,26.1,30.5,47.282970263056654,3.336201922045488,445,445,536,626
Clermont-Ferrand-21,2721,40422,14.8,31.6,27.3,26.3,43.97645702456429,0.7893595573972654,402,859,742,715
Grenoble-22,2784,22695,20.3,23.7,31.8,24.2,45.04501253974653,6.484321258335516,565,659,885,673
Villeurbanne-23,2923,28448,16.5,27.2,28.5,27.8,45.56453290305584,3.91169720633415,482,795,833,812
Bordeaux-24,2785,15000,22.4,30.1,28.3,19.2,46.19248988951925,6.23181723148805,623,838,788,534
Rennes-25,3075,17394,18.7,32.0,24.7,24.6,48.496231729751095,1.803467705993822,575,984,759,756
Toulouse-26,3857,32314,21.0,27.5,25.3,26.2,44.39771647510852,-1.1520529772754644,809,1060,975,1010
